PDF Links,PDF Title
0-template.pdf,"four column layout, three column layout"
Machine Learning Modelling in R.pdf,machine learning modelling in R
SamplingStrata.pdf,sampling strata
base-r.pdf,base r
bayesplot.pdf,bayes plot
caret.pdf,caret package
cartography.pdf,thematic maps with cartography
collapse.pdf,advanced and fast data transformations with collapse
data-import.pdf,data import
data-transformation.pdf,data transformations
data-visualization-2.1.pdf,data visualization with ggplot2
datatable.pdf,data transformation with data.table
declaredesign.pdf,declare design
distr6.pdf,"create, query and manipulate distributions with distr6"
estimatr.pdf,estimatr
eurostat.pdf,access eurostat data with eurostat
factors.pdf,factors with forcats
gganimate.pdf,animate ggplots with gganimate
golem.pdf,golem a framework for building robust shiny apps
gwasrapidd.pdf,gwas catalog access with gwasrapidd
h2o.pdf,h2o
how-big-is-your-graph.pdf,how big is your graph
imputeTS.pdf,time series imputation with imputts
keras.pdf,deep learning with keras
labelled.pdf,labelled data with labelled
latex/base-r/base-r.pdf,base r
leaflet.pdf,leaflet an open-source javascript library for mobile-friendly interactive maps
lubridate.pdf,date and times with lubridate
mlr.pdf,machine learning with r
mosaic.pdf,intro stats with mosaic
nardl.pdf,nardl package an r package to estimate the nonlinear cointegrating autoregressive distributive lag model
nimble.pdf,nimble models
oSCR.pdf,oscr provides set of fucntions for working with spatial capture recapture (scr) models
old/pdfs,
old/pdfs/0-template.pdf,
old/pdfs/data-import-cheatsheet.pdf,
old/pdfs/data-transformation-cheatsheet.pdf,
old/pdfs/data-wrangling-cheatsheet.pdf,
old/pdfs/devtools-cheatsheet.pdf,
old/pdfs/ggplot2-cheatsheet-2.0.pdf,
old/pdfs/ggplot2-cheatsheet-2.1.pdf,
old/pdfs/ggplot2-cheatsheet.pdf,
old/pdfs/list-columns-cheatsheet.pdf,
old/pdfs/rmarkdown-cheatsheet-2.0.pdf,
old/pdfs/rmarkdown-cheatsheet.pdf,
old/pdfs/rmarkdown-reference.pdf,
old/pdfs/rstudio-IDE-cheatsheet.pdf,
old/pdfs/rstudio-IDE-poster.pdf,
old/pdfs/shiny-cheatsheet-dark.pdf,
old/pdfs/shiny-cheatsheet-old.pdf,
old/pdfs/shiny-cheatsheet.pdf,
old/pdfs/sparklyr.pdf,
package-development.pdf,package development
parallel_computation.pdf,parallel computing
purrr.pdf,apply functions with purrr
quanteda.pdf,quanteda cheat sheet quantitative analysis of textual data
randomizr.pdf,randomizr
regex.pdf,basic regular expressions in r
reticulate.pdf,use python with r with reticulate
rmarkdown-2.0.pdf,r markdown
rphylopic.pdf,add silhouettes with rphylopic
rstudio-ide.pdf,rstudioIDE
sf.pdf,spatial manipulation with sf
shiny.pdf,shiny
shiny_Spanish_final.pdf,
sjmisc.pdf,data & variable transformation with sjmisc
sparklyr.pdf,data science in spark with sparklyr
stata2r.pdf,stata to r
strings.pdf,string manipulation with stringr
survminer.pdf,creating survival plots informative and elegant with survminer
syntax.pdf,r syntax comparison
teachR.pdf,"the teachr's getting ready to teach some r? use our cheat sheet to prepare, teach and debrief"
tidyeval.pdf,tidy evaluation with rlang
time-series.pdf,time series
translations/chinese/data-visualization-2.1.pdf,
translations/chinese/keras-cheatsheet_zh_CN.pdf,
translations/chinese/simplified-chinese/Data-Transformation-Simplified-Chinese.pdf,
translations/chinese/sparklyr-cheatsheet_zh_CN.pdf,
translations/chinese/sparklyr-cheatsheet_zh_TW.pdf,
translations/dutch/R-Markdown-Dutch.pdf,
translations/dutch/data-wrangling-Dutch.pdf,
translations/dutch/devtools-Dutch.pdf,
translations/dutch/ggplot2-Dutch.pdf,
translations/french/caret-french-cheatsheet.pdf,
translations/french/data-wrangling-french.pdf,
translations/french/ggplot2-french-cheatsheet.pdf,
translations/french/quanteda_fr.pdf,
translations/french/regex-french-cheatsheet.pdf,
translations/french/rstudio-IDE-cheatsheet.pdf,
translations/french/shiny-french-cheatsheet.pdf,
translations/german/base-r_de.pdf,
translations/german/data-transformation-cheatsheet_de.pdf,
translations/german/data-wrangling-german.pdf,
translations/german/devtools-german.pdf,
translations/german/ggplot2-german.pdf,
translations/german/rmarkdown-cheatsheet-2.0-german.pdf,
translations/german/shiny-german.pdf,
translations/german/sparklyr-cheatsheet_de.pdf,
translations/greek/base-r_gr.pdf,
translations/greek/rstudio-ide_gr.pdf,
translations/italian/devtools-cheatsheet-ITA-Salatino.pdf,
translations/italian/rmarkdown-cheatsheet-2.0-ITA-Salatino.pdf,
translations/italian/rstudio-IDE-cheatsheet-ITA-Salatino.pdf,
translations/japanese/Rmarkdown-cheatsheet-2.0_ja.pdf,
translations/japanese/data-wrangling-japanese.pdf,
translations/japanese/factors_jp.pdf,
translations/japanese/ggplot2-cheatsheet-2.0-ja.pdf,
translations/japanese/keras_jp.pdf,
translations/japanese/r-cheat-sheet-ja.pdf,
translations/japanese/rmarkdown-2.0_jp.pdf,
translations/japanese/rstudio-IDE-cheatsheet_ja.pdf,
translations/japanese/sparklyr-cheatsheet_ja.pdf,
translations/korean/caret-cheatsheet.pdf,
translations/korean/devtools-cheatsheet-kr.pdf,
translations/korean/purrr-cheatsheet-kr.pdf,
translations/korean/rmarkdown-cheatsheet-kr.pdf,
translations/korean/syntax-kr.pdf,
translations/portuguese/Caret-cheatsheet-portuguese.pdf,
translations/portuguese/data-wrangling-cheatsheet-portuguese.pdf,
translations/portuguese/ggplot2-cheatsheet-portuguese.pdf,
translations/portuguese/rstudio-IDE-cheatsheet-portuguese.pdf,
translations/russian/data-import_ru.pdf,
translations/russian/data-transformation_ru.pdf,
translations/russian/ggplot2-cheatsheet-2.1_ru.pdf,
translations/russian/lubridate_ru.pdf,
translations/russian/purrr_ru.pdf,
translations/spanish/Sparklyr_spanish_act2019.pdf,
translations/spanish/caret-cheatsheet_Spanish.pdf,
translations/spanish/data-import-Spanish_translation-2019.pdf,
translations/spanish/data-import-cheatsheet_Spanish.pdf,
translations/spanish/data-transformation_Spanish.pdf,
translations/spanish/data-visualization-3.1_Spanish.pdf,
translations/spanish/data-wrangling-cheatsheet_Spanish.pdf,
translations/spanish/devtools-cheatsheet_Spanish.pdf,
translations/spanish/estadistica-descriptiva-con-R.pdf,
translations/spanish/factors-Spanish.pdf,
translations/spanish/ggplot2.pdf,
translations/spanish/introduccion-a-r.pdf,
translations/spanish/keras_Spanish.pdf,
translations/spanish/lubridate-Spanish-translation-2019.pdf,
translations/spanish/lubridate_Spanish.pdf,
translations/spanish/package-development_Spanish.pdf,
translations/spanish/purrr_COrtega_Spanish.pdf,
translations/spanish/reticulate_spanish.pdf,
translations/spanish/rmarkdown-2.0_Spanish.pdf,
translations/spanish/rmarkdown_Spanish.pdf,
translations/spanish/rstudio-entorno.pdf,
translations/spanish/rstudio-ide_Spanish_Translation_Monica_Alonso.pdf,
translations/spanish/shiny_Spanish.pdf,
translations/spanish/sparklyrSpanish.pdf,
translations/spanish/strings_Spanish.pdf,
translations/spanish/syntax_spanish.pdf,
translations/spanish/tidyeval_Spanish.pdf,
translations/turkish/RegEx_tr_translate.pdf,
translations/turkish/baseR_translate_tr.pdf,
translations/turkish/caret_translate_tr.pdf,
translations/turkish/data-transformation_turkish.pdf,
translations/turkish/data_import_tr.pdf,
translations/turkish/ggplot2_2.0_Turkish.pdf,
translations/turkish/ggplot2_tr.pdf,
translations/turkish/rmarkdown-tr.pdf,
translations/turkish/shiny_tr.pdf,
translations/ukrainian/data-import_ua.pdf,
translations/ukrainian/data-transformation_ua.pdf,
translations/ukrainian/lubridate_ua.pdf,
translations/ukrainian/purrr_ua.pdf,
translations/uzbek/data-import-cheatsheet-uzb.pdf,
translations/uzbek/data-transformation-cheatsheet-uzb.pdf,
translations/vietnamese/Base-R-Vietnamese.pdf,
translations/vietnamese/Data-Wrangling-Cheatsheet-Vietnamese.pdf,
translations/vietnamese/Shiny-Cheat-Sheet-Vietnamese.pdf,
translations/vietnamese/devtools-cheatsheet_Vietnamese.pdf,
translations/vietnamese/ggplot2-cheatsheet-2.0-Vietnamese.pdf,
translations/vietnamese/lubridate_vietnamese.pdf,
translations/vietnamese/purrr_vietnamese.pdf,
translations/vietnamese/rmarkdown-cheatsheet-Vietnamese.pdf,
translations/vietnamese/stringr_vietnamese.pdf,
tsbox.pdf,class agnostic time series with tsbox
vegan.pdf,vegan descriptive community ecology
vtree.pdf,vtree v4.0.0
xplain.pdf,xplain
